Separation_m,ElevDelta_m,A_Faction,A_Prototype,A_GUID,A_X,A_Y,A_Z,A_Active,B_Faction,B_Prototype,B_GUID,B_X,B_Y,B_Z,B_Active,Relation,RelationVia,A_may_attack_B,B_may_attack_A,A_KmToRostok,B_KmToRostok
563,15,Militaries,Militaries,BABC5EE4455883647FF170B10AFF8318,439368,593784,2374,true,Neutrals,Neutrals,D0EA64D441AB2ADA2D2FA89F7F33DF1A,403673,550246,878,true,-800,Militaries<->Neutrals,,,2.17,1.61
562,6,Monolith,Monolith,33C4403A4552D4773CB5628EE6221964,439368,594001,2374,false,Neutrals,GuardNeutrals,D3DF49C048809839216053A65E26FFD9,401320,552660,1730,true,-800,Monolith<->Neutrals,Monolith->Neutrals,Neutrals->Monolith,2.17,1.62
560,6,Militaries,Militaries,BABC5EE4455883647FF170B10AFF8318,439368,593784,2374,true,Neutrals,GuardNeutrals,D3DF49C048809839216053A65E26FFD9,401320,552660,1730,true,-800,Militaries<->Neutrals,,,2.17,1.62
553,3,Noon,Noon,A829B7844462E06892AC589D1B15008D,486671,516991,2097,true,Militaries,Militaries,F64E5FD14276B7683A39EEB75DC3E0A2,454583,562031,1799,true,-800,Noon<->Militaries,,,1.96,2.01
552,4,Neutrals,Neutrals,53058FDB49365D62210A6B881F0636B0,321331,412861,754,true,Bandits,Bandits,913172664E4AE654DB0EF8B4A72A185B,375569,402378,1169,true,-800,Neutrals<->Bandits,Neutrals->Bandits,Bandits->Neutrals,0.01,0.55
552,4,Bandits,Bandits,913172664E4AE654DB0EF8B4A72A185B,375569,402378,1169,true,Freedom,Freedom,CB58606D44997ADDE6E19F9EF76833FC,321442,413048,752,true,-800,Bandits<->Freedom,Bandits->Freedom,Freedom->Bandits,0.55,0.01
551,1,Bandits,Bandits,4D9C2DFE403F868B11FC7BA148BBD404,364425,520789,614,false,Varta,GuardVarta,68CDD5A04042043E33342A87282E1D22,309811,527870,541,true,-800,Bandits<->Varta,Bandits->Varta,Varta->Bandits,1.17,1.16
548,1,Neutrals,GuardNeutrals,9EF70D664EB9D3F613F48DB7C03DFE69,402960,543790,1730,true,Militaries,Militaries,F64E5FD14276B7683A39EEB75DC3E0A2,454583,562031,1799,true,-800,Neutrals<->Militaries,,,1.55,2.01
546,15,Militaries,Militaries,BDA016D949E3258284283F936E9F92D3,412080,358223,1124,false,Diggers,Diggers,DBAC845F4CCC1AEE5F60E6BC5D360283,418603,412461,2647,true,-800,Militaries<->Neutrals,,,1.06,0.97
541,1,Neutrals,GuardNeutrals,D3DF49C048809839216053A65E26FFD9,401320,552660,1730,true,Militaries,Militaries,F64E5FD14276B7683A39EEB75DC3E0A2,454583,562031,1799,true,-800,Neutrals<->Militaries,,,1.62,2.01
540,20,Monolith,Monolith,8637E4444CE7A435B300E0A54001F27E,480500,344450,802,,Bandits,Bandits,FBF33E574BB156F9E692EF82DD8AF99F,432688,369467,2752,true,-800,Monolith<->Bandits,Monolith->Bandits,,1.73,1.19
540,2,Noon,Noon,4C541B6F42230CE4AFB31C8702CCB6F1,498141,530183,2013,true,Militaries,Militaries,F64E5FD14276B7683A39EEB75DC3E0A2,454583,562031,1799,true,-800,Noon<->Militaries,,,2.13,2.01
533,11,Neutrals,GuardNeutrals,470BDF2241A1D97325889299AB204504,407780,551740,1730,true,Bandits,Bandits,4D9C2DFE403F868B11FC7BA148BBD404,364425,520789,614,false,-800,Neutrals<->Bandits,Neutrals->Bandits,Bandits->Neutrals,1.64,1.17
528,6,Monolith,Monolith,33C4403A4552D4773CB5628EE6221964,439368,594001,2374,false,Neutrals,GuardNeutrals,470BDF2241A1D97325889299AB204504,407780,551740,1730,true,-800,Monolith<->Neutrals,Monolith->Neutrals,Neutrals->Monolith,2.17,1.64
527,4,Corpus,GuardCorpus,C0750CCD41E475C6C371729350BC1022,231523,159879,1913,true,Monolith,Monolith,DD489ECE4B9DA5BC41CB6E8F9D890F79,278924,182904,2357,true,-800,Corpus<->Monolith,Corpus->Monolith,Monolith->Corpus,2.68,2.33
526,4,Monolith,Monolith,660DD1B6450C9EF6ECE01D85AD63387A,278924,182766,2357,true,Corpus,GuardCorpus,C0750CCD41E475C6C371729350BC1022,231523,159879,1913,true,-800,Monolith<->Corpus,Monolith->Corpus,Corpus->Monolith,2.33,2.68
526,6,Neutrals,GuardNeutrals,470BDF2241A1D97325889299AB204504,407780,551740,1730,true,Militaries,Militaries,BABC5EE4455883647FF170B10AFF8318,439368,593784,2374,true,-800,Neutrals<->Militaries,,,1.64,2.17
526,4,Corpus,GuardCorpus,C0750CCD41E475C6C371729350BC1022,231523,159879,1913,true,Monolith,Monolith,EAC076E24E7966C5BA8C54B5CFD53582,278924,182621,2357,true,-800,Corpus<->Monolith,Corpus->Monolith,Monolith->Corpus,2.68,2.33
525,4,Monolith,Monolith,7257049F4CF7219076C4028F5D151466,278924,182476,2357,true,Corpus,GuardCorpus,C0750CCD41E475C6C371729350BC1022,231523,159879,1913,true,-800,Monolith<->Corpus,Monolith->Corpus,Corpus->Monolith,2.33,2.68
524,4,Monolith,Monolith,6FBE02A84146F950C7AA3C990B535E07,278924,182324,2357,true,Corpus,GuardCorpus,C0750CCD41E475C6C371729350BC1022,231523,159879,1913,true,-800,Monolith<->Corpus,Monolith->Corpus,Corpus->Monolith,2.34,2.68
524,4,Monolith,Monolith,25E18DF8462A94B4CF16A1878E7A7253,278924,182147,2357,true,Corpus,GuardCorpus,C0750CCD41E475C6C371729350BC1022,231523,159879,1913,true,-800,Monolith<->Corpus,Monolith->Corpus,Corpus->Monolith,2.34,2.68
524,15,Monolith,Monolith,6DFDB9B843430F45F2FDA789838D051B,423912,598540,2374,false,Neutrals,Neutrals,D0EA64D441AB2ADA2D2FA89F7F33DF1A,403673,550246,878,true,-800,Monolith<->Neutrals,Monolith->Neutrals,Neutrals->Monolith,2.13,1.61
523,4,Corpus,GuardCorpus,C0750CCD41E475C6C371729350BC1022,231523,159879,1913,true,Monolith,Monolith,FEB7E4FB4FCA9FD93BBEEB887EF7C13B,278924,181983,2357,true,-800,Corpus<->Monolith,Corpus->Monolith,Monolith->Corpus,2.68,2.34
523,9,Neutrals,Neutrals,D0EA64D441AB2ADA2D2FA89F7F33DF1A,403673,550246,878,true,Militaries,Militaries,F64E5FD14276B7683A39EEB75DC3E0A2,454583,562031,1799,true,-800,Neutrals<->Militaries,,,1.61,2.01
523,5,Freedom,Freedom,34682CFA49A888D1309F66BD32AEA3F6,323474,406447,682,true,Bandits,Bandits,913172664E4AE654DB0EF8B4A72A185B,375569,402378,1169,true,-800,Freedom<->Bandits,Freedom->Bandits,Bandits->Freedom,0.06,0.55
522,15,Militaries,Militaries,4C4E94C14C3C8E8531B2ACAFD1C0895F,423559,598540,2374,true,Neutrals,Neutrals,D0EA64D441AB2ADA2D2FA89F7F33DF1A,403673,550246,878,true,-800,Militaries<->Neutrals,,,2.13,1.61
522,4,Monolith,Monolith,53A798F94E5DF03B198C4D92A8A6D3D2,278924,181796,2357,true,Corpus,GuardCorpus,C0750CCD41E475C6C371729350BC1022,231523,159879,1913,true,-800,Monolith<->Corpus,Monolith->Corpus,Corpus->Monolith,2.34,2.68
522,4,Monolith,Monolith,B695A7F248B2637A057F0D8A6573B9A0,278924,181631,2357,true,Corpus,GuardCorpus,C0750CCD41E475C6C371729350BC1022,231523,159879,1913,true,-800,Monolith<->Corpus,Monolith->Corpus,Corpus->Monolith,2.34,2.68
521,4,Monolith,Monolith,13B0DFA1403C5585A421489D5607B2C1,278924,181390,2357,true,Corpus,GuardCorpus,C0750CCD41E475C6C371729350BC1022,231523,159879,1913,true,-800,Monolith<->Corpus,Monolith->Corpus,Corpus->Monolith,2.35,2.68
519,4,Monolith,Monolith,49D4E22644E13160FF314FAFAF3B83B9,278924,181074,2357,true,Corpus,GuardCorpus,C0750CCD41E475C6C371729350BC1022,231523,159879,1913,true,-800,Monolith<->Corpus,Monolith->Corpus,Corpus->Monolith,2.35,2.68
518,23,Militaries,Militaries,4F447BD742F2EF955B5E2F893FD10171,423746,599334,4060,true,Neutrals,GuardNeutrals,D3DF49C048809839216053A65E26FFD9,401320,552660,1730,true,-800,Militaries<->Neutrals,,,2.13,1.62
511,6,Monolith,Monolith,6DFDB9B843430F45F2FDA789838D051B,423912,598540,2374,false,Neutrals,GuardNeutrals,D3DF49C048809839216053A65E26FFD9,401320,552660,1730,true,-800,Monolith<->Neutrals,Monolith->Neutrals,Neutrals->Monolith,2.13,1.62
510,6,Militaries,Militaries,4C4E94C14C3C8E8531B2ACAFD1C0895F,423559,598540,2374,true,Neutrals,GuardNeutrals,D3DF49C048809839216053A65E26FFD9,401320,552660,1730,true,-800,Militaries<->Neutrals,,,2.13,1.62
505,23,Militaries,Militaries,8675C44D445AE2F1EC9011B6D5F1DFE0,425583,588463,4060,true,Neutrals,GuardNeutrals,E0AF93DE4374FD279D4C6DA13BBEFE4B,394880,548400,1730,true,-800,Militaries<->Neutrals,,,2.05,1.55
502,23,Neutrals,GuardNeutrals,470BDF2241A1D97325889299AB204504,407780,551740,1730,true,Militaries,Militaries,4F447BD742F2EF955B5E2F893FD10171,423746,599334,4060,true,-800,Neutrals<->Militaries,,,1.64,2.13
501,5,Noon,Noon,409FCB2D4D81894F2A6B0499448E827B,484286,521685,1293,true,Militaries,Militaries,F64E5FD14276B7683A39EEB75DC3E0A2,454583,562031,1799,true,-800,Noon<->Militaries,,,1.96,2.01
501,23,Militaries,Militaries,8675C44D445AE2F1EC9011B6D5F1DFE0,425583,588463,4060,true,Neutrals,GuardNeutrals,9EF70D664EB9D3F613F48DB7C03DFE69,402960,543790,1730,true,-800,Militaries<->Neutrals,,,2.05,1.55
499,4,Freedom,GuardFreedom,04E35ED84E9D132C0001AB94529C5414,326059,408675,801,true,Bandits,Bandits,913172664E4AE654DB0EF8B4A72A185B,375569,402378,1169,true,-800,Freedom<->Bandits,Freedom->Bandits,Bandits->Freedom,0.06,0.55
495,6,Neutrals,GuardNeutrals,470BDF2241A1D97325889299AB204504,407780,551740,1730,true,Monolith,Monolith,6DFDB9B843430F45F2FDA789838D051B,423912,598540,2374,false,-800,Neutrals<->Monolith,Neutrals->Monolith,Monolith->Neutrals,1.64,2.13
494,12,Varta,Varta,609C7B0B47B4419F1AE063B98BA152B3,397060,546550,1130,true,Monolith,Monolith,B91D2E4040F6F7DDB5981780D423FD7F,426413,586321,2374,false,-800,Varta<->Monolith,Varta->Monolith,Monolith->Varta,1.54,2.04
494,6,Neutrals,GuardNeutrals,470BDF2241A1D97325889299AB204504,407780,551740,1730,true,Militaries,Militaries,4C4E94C14C3C8E8531B2ACAFD1C0895F,423559,598540,2374,true,-800,Neutrals<->Militaries,,,1.64,2.13
493,6,Monolith,Monolith,B91D2E4040F6F7DDB5981780D423FD7F,426413,586321,2374,false,Neutrals,GuardNeutrals,E0AF93DE4374FD279D4C6DA13BBEFE4B,394880,548400,1730,true,-800,Monolith<->Neutrals,Monolith->Neutrals,Neutrals->Monolith,2.04,1.55
491,6,Militaries,Militaries,6DC693184D37EE5A421176A86C9A7632,426413,586078,2374,true,Neutrals,GuardNeutrals,E0AF93DE4374FD279D4C6DA13BBEFE4B,394880,548400,1730,true,-800,Militaries<->Neutrals,,,2.03,1.55
491,3,Bandits,Bandits,4D9C2DFE403F868B11FC7BA148BBD404,364425,520789,614,false,Neutrals,Neutrals,D0EA64D441AB2ADA2D2FA89F7F33DF1A,403673,550246,878,true,-800,Bandits<->Neutrals,Bandits->Neutrals,Neutrals->Bandits,1.17,1.61
488,11,Bandits,Bandits,4D9C2DFE403F868B11FC7BA148BBD404,364425,520789,614,false,Neutrals,GuardNeutrals,D3DF49C048809839216053A65E26FFD9,401320,552660,1730,true,-800,Bandits<->Neutrals,Bandits->Neutrals,Neutrals->Bandits,1.17,1.62
487,5,Monolith,Monolith,65FD2E914E301E3089FD2FB9AFE1C3F7,277369,176387,2397,true,Corpus,GuardCorpus,C0750CCD41E475C6C371729350BC1022,231523,159879,1913,true,-800,Monolith<->Corpus,Monolith->Corpus,Corpus->Monolith,2.4,2.68
486,9,Militaries,Militaries,3E6A5C2241926C10A8F293AEA0ACC3B7,413491,645997,1506,false,Monolith,Monolith,6DFDB9B843430F45F2FDA789838D051B,423912,598540,2374,false,-800,Militaries<->Monolith,,Monolith->Militaries,2.51,2.13
486,6,Neutrals,GuardNeutrals,9EF70D664EB9D3F613F48DB7C03DFE69,402960,543790,1730,true,Monolith,Monolith,B91D2E4040F6F7DDB5981780D423FD7F,426413,586321,2374,false,-800,Neutrals<->Monolith,Neutrals->Monolith,Monolith->Neutrals,1.55,2.04
484,6,Militaries,Militaries,6DC693184D37EE5A421176A86C9A7632,426413,586078,2374,true,Neutrals,GuardNeutrals,9EF70D664EB9D3F613F48DB7C03DFE69,402960,543790,1730,true,-800,Militaries<->Neutrals,,,2.03,1.55
483,8,Noon,GuardNoon,376CF1EC435B03A53E384AA824ACE5AB,492197,531673,1043,true,Militaries,Militaries,F64E5FD14276B7683A39EEB75DC3E0A2,454583,562031,1799,true,-800,Noon<->Militaries,,,2.09,2.01
482,4,Freedom,GuardFreedom,6820F8C143FA8A1DBD0D0084F27E7799,328784,413926,740,true,Bandits,Bandits,913172664E4AE654DB0EF8B4A72A185B,375569,402378,1169,true,-800,Freedom<->Bandits,Freedom->Bandits,Bandits->Freedom,0.08,0.55
479,1,Neutrals,GuardNeutrals,470BDF2241A1D97325889299AB204504,407780,551740,1730,true,Militaries,Militaries,F64E5FD14276B7683A39EEB75DC3E0A2,454583,562031,1799,true,-800,Neutrals<->Militaries,,,1.64,2.01
478,23,Monolith,Monolith,A63346C44150CC8C80E1E9931BB1F5C5,273374,183067,4215,true,Corpus,GuardCorpus,C0750CCD41E475C6C371729350BC1022,231523,159879,1913,true,-800,Monolith<->Corpus,Monolith->Corpus,Corpus->Monolith,2.34,2.68
478,5,Noon,GuardNoon,DD6E36704D3822838F98C7BAA11978FF,480431,521850,1325,true,Militaries,Militaries,F64E5FD14276B7683A39EEB75DC3E0A2,454583,562031,1799,true,-800,Noon<->Militaries,,,1.93,2.01
477,6,Monolith,Monolith,6DFDB9B843430F45F2FDA789838D051B,423912,598540,2374,false,Militaries,Militaries,F64E5FD14276B7683A39EEB75DC3E0A2,454583,562031,1799,true,-800,Monolith<->Militaries,Monolith->Militaries,,2.13,2.01
475,5,Monolith,Monolith,2967D4934603E1E9BF65D5B3FE164618,276399,175595,2397,true,Corpus,GuardCorpus,C0750CCD41E475C6C371729350BC1022,231523,159879,1913,true,-800,Monolith<->Corpus,Monolith->Corpus,Corpus->Monolith,2.41,2.68
475,2,Noon,GuardNoon,B8ADBE4C41F4CAB93F28C4B12D65BF0B,485112,525707,1620,true,Militaries,Militaries,F64E5FD14276B7683A39EEB75DC3E0A2,454583,562031,1799,true,-800,Noon<->Militaries,,,1.99,2.01
468,3,Monolith,Monolith,A09B2DE9412077632CA5F29F209D44E1,264300,193285,2259,,Corpus,GuardCorpus,C0750CCD41E475C6C371729350BC1022,231523,159879,1913,true,-800,Monolith<->Corpus,Monolith->Corpus,Corpus->Monolith,2.26,2.68
459,4,Bandits,Bandits,4D9C2DFE403F868B11FC7BA148BBD404,364425,520789,614,false,Neutrals,GuardNeutrals,5E56F1594C1BC31FFBFA8B9F1275CBA6,318878,526226,1013,true,-800,Bandits<->Neutrals,Bandits->Neutrals,Neutrals->Bandits,1.17,1.14
452,1,Diggers,Diggers,DBAC845F4CCC1AEE5F60E6BC5D360283,418603,412461,2647,true,Bandits,Bandits,FBF33E574BB156F9E692EF82DD8AF99F,432688,369467,2752,true,-800,Neutrals<->Bandits,Neutrals->Bandits,Bandits->Neutrals,0.97,1.19
449,11,Bandits,Bandits,4D9C2DFE403F868B11FC7BA148BBD404,364425,520789,614,false,Neutrals,GuardNeutrals,9EF70D664EB9D3F613F48DB7C03DFE69,402960,543790,1730,true,-800,Bandits<->Neutrals,Bandits->Neutrals,Neutrals->Bandits,1.17,1.55
442,15,Bandits,Bandits,913172664E4AE654DB0EF8B4A72A185B,375569,402378,1169,true,Diggers,Diggers,DBAC845F4CCC1AEE5F60E6BC5D360283,418603,412461,2647,true,-800,Bandits<->Neutrals,Bandits->Neutrals,Neutrals->Bandits,0.55,0.97
437,3,Monolith,Monolith,7808FCD2475A4A08D708CDA932C9C34E,267703,184443,1658,true,Corpus,GuardCorpus,C0750CCD41E475C6C371729350BC1022,231523,159879,1913,true,-800,Monolith<->Corpus,Monolith->Corpus,Corpus->Monolith,2.34,2.68
434,8,Monolith,Monolith,320FCB044E226FE72DC6ADB002F152E0,272146,175160,1125,true,Corpus,GuardCorpus,C0750CCD41E475C6C371729350BC1022,231523,159879,1913,true,-800,Monolith<->Corpus,Monolith->Corpus,Corpus->Monolith,2.42,2.68
433,23,Militaries,Militaries,8675C44D445AE2F1EC9011B6D5F1DFE0,425583,588463,4060,true,Neutrals,GuardNeutrals,D3DF49C048809839216053A65E26FFD9,401320,552660,1730,true,-800,Militaries<->Neutrals,,,2.05,1.62
431,3,Noon,Noon,4926E9234F53D13036E3FD9C81611D0D,478609,526238,1450,true,Militaries,Militaries,F64E5FD14276B7683A39EEB75DC3E0A2,454583,562031,1799,true,-800,Noon<->Militaries,,,1.94,2.01
429,7,Monolith,Monolith,8637E4444CE7A435B300E0A54001F27E,480500,344450,802,,Duty,GuardDuty,D9FA82BD42AAC5DB5C88B193D9FDB519,494086,385120,1456,true,-800,Monolith<->Duty,Monolith->Duty,Duty->Monolith,1.73,1.75
427,8,Monolith,Monolith,266EDDF744C1CE3D19AAB69CF7BE5066,272865,170384,2693,true,Corpus,GuardCorpus,C0750CCD41E475C6C371729350BC1022,231523,159879,1913,true,-800,Monolith<->Corpus,Monolith->Corpus,Corpus->Monolith,2.46,2.68
427,5,Monolith,Monolith,87C641444CA4F8A2BA7C69A209BF518B,264348,187112,2397,true,Corpus,GuardCorpus,C0750CCD41E475C6C371729350BC1022,231523,159879,1913,true,-800,Monolith<->Corpus,Monolith->Corpus,Corpus->Monolith,2.32,2.68
426,15,Monolith,Monolith,B91D2E4040F6F7DDB5981780D423FD7F,426413,586321,2374,false,Neutrals,Neutrals,D0EA64D441AB2ADA2D2FA89F7F33DF1A,403673,550246,878,true,-800,Monolith<->Neutrals,Monolith->Neutrals,Neutrals->Monolith,2.04,1.61
424,15,Militaries,Militaries,6DC693184D37EE5A421176A86C9A7632,426413,586078,2374,true,Neutrals,Neutrals,D0EA64D441AB2ADA2D2FA89F7F33DF1A,403673,550246,878,true,-800,Militaries<->Neutrals,,,2.03,1.61
420,6,Monolith,Monolith,B91D2E4040F6F7DDB5981780D423FD7F,426413,586321,2374,false,Neutrals,GuardNeutrals,D3DF49C048809839216053A65E26FFD9,401320,552660,1730,true,-800,Monolith<->Neutrals,Monolith->Neutrals,Neutrals->Monolith,2.04,1.62
418,12,Corpus,GuardCorpus,C0750CCD41E475C6C371729350BC1022,231523,159879,1913,true,Monolith,Monolith,C117DDF34B9A5CD52BE76AA3EB440B1A,268218,179961,675,true,-800,Corpus<->Monolith,Corpus->Monolith,Monolith->Corpus,2.68,2.38
418,6,Militaries,Militaries,6DC693184D37EE5A421176A86C9A7632,426413,586078,2374,true,Neutrals,GuardNeutrals,D3DF49C048809839216053A65E26FFD9,401320,552660,1730,true,-800,Militaries<->Neutrals,,,2.03,1.62
416,5,Bandits,Bandits,4D9C2DFE403F868B11FC7BA148BBD404,364425,520789,614,false,Varta,Varta,609C7B0B47B4419F1AE063B98BA152B3,397060,546550,1130,true,-800,Bandits<->Varta,Bandits->Varta,Varta->Bandits,1.17,1.54
415,1,Corpus,GuardCorpus,C0750CCD41E475C6C371729350BC1022,231523,159879,1913,true,Monolith,Monolith,ED6EBF964FC8A422D49259A9C341506C,269653,176307,1823,true,-800,Corpus<->Monolith,Corpus->Monolith,Monolith->Corpus,2.68,2.41
411,11,Bandits,Bandits,4D9C2DFE403F868B11FC7BA148BBD404,364425,520789,614,false,Neutrals,GuardNeutrals,E0AF93DE4374FD279D4C6DA13BBEFE4B,394880,548400,1730,true,-800,Bandits<->Neutrals,Bandits->Neutrals,Neutrals->Bandits,1.17,1.55
408,23,Neutrals,GuardNeutrals,470BDF2241A1D97325889299AB204504,407780,551740,1730,true,Militaries,Militaries,8675C44D445AE2F1EC9011B6D5F1DFE0,425583,588463,4060,true,-800,Neutrals<->Militaries,,,1.64,2.05
405,4,Monolith,Monolith,8637E4444CE7A435B300E0A54001F27E,480500,344450,802,,Bandits,Bandits,A29F04884CBD401390D276AE278D6F6B,475150,304337,416,false,-800,Monolith<->Bandits,Monolith->Bandits,,1.73,1.88
404,4,Monolith,Monolith,8637E4444CE7A435B300E0A54001F27E,480500,344450,802,,Mercenaries,Mercenaries,871549724E9E0C2013977F92A6F52BA1,475294,304342,418,false,-800,Monolith<->Mercenaries,Monolith->Mercenaries,Mercenaries->Monolith,1.73,1.88
394,1,Corpus,GuardCorpus,5AE2028F4C434C2F8A0BE890439AF7DD,208990,271990,1330,true,Monolith,Monolith,ACD5EDDE4CE6BFED58421092CF21C88C,247011,261808,1222,true,-800,Corpus<->Monolith,Corpus->Monolith,Monolith->Corpus,1.8,1.68
393,6,Neutrals,GuardNeutrals,470BDF2241A1D97325889299AB204504,407780,551740,1730,true,Monolith,Monolith,B91D2E4040F6F7DDB5981780D423FD7F,426413,586321,2374,false,-800,Neutrals<->Monolith,Neutrals->Monolith,Monolith->Neutrals,1.64,2.04
391,6,Neutrals,GuardNeutrals,470BDF2241A1D97325889299AB204504,407780,551740,1730,true,Militaries,Militaries,6DC693184D37EE5A421176A86C9A7632,426413,586078,2374,true,-800,Neutrals<->Militaries,,,1.64,2.03
384,6,Monolith,Monolith,8637E4444CE7A435B300E0A54001F27E,480500,344450,802,,Duty,Duty,919DCCC2407D8FF9A17A2EA287288B89,517196,355695,1410,true,-800,Monolith<->Duty,Monolith->Duty,Duty->Monolith,1.73,2.04
383,10,Noon,GuardNoon,B0325BCC4D7CD9488617DB9D4516BABB,491694,552392,809,true,Militaries,Militaries,F64E5FD14276B7683A39EEB75DC3E0A2,454583,562031,1799,true,-800,Noon<->Militaries,,,2.21,2.01
375,4,Militaries,Militaries,38475DEF4B3BF46D9FF46296B3EC08F0,401877,518640,1026,true,Bandits,Bandits,4D9C2DFE403F868B11FC7BA148BBD404,364425,520789,614,false,-800,Militaries<->Bandits,,,1.34,1.17
372,6,Monolith,Monolith,B91D2E4040F6F7DDB5981780D423FD7F,426413,586321,2374,false,Militaries,Militaries,F64E5FD14276B7683A39EEB75DC3E0A2,454583,562031,1799,true,-800,Monolith<->Militaries,Monolith->Militaries,,2.04,2.01
