Source,File,Bytes,Lines,RootNodeCount,DistinctNodeTypes,HasLairNodes,HasFactionWarNodes
Base,GameLite/GameData/QuestNodePrototypes/ANCQ26_P.cfg,9277,312,15,9,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ27.cfg,17879,598,26,11,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ27_P.cfg,13157,433,20,9,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ28.cfg,84474,2645,123,9,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ28_P.cfg,2639,103,6,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ_11P.cfg,6591,208,13,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/AlifeDirectorDisable.cfg,1976,54,5,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/Arch_Bossfight_Faust.cfg,126106,4061,181,42,false,false
Base,GameLite/GameData/QuestNodePrototypes/Arch_E07_DugaActivation.cfg,6194,181,10,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/Arch_L.cfg,83972,2729,113,21,true,false
Base,GameLite/GameData/QuestNodePrototypes/Arch_L_Assault_E08.cfg,59787,1631,93,13,true,false
Base,GameLite/GameData/QuestNodePrototypes/Arch_L_DugaMilitary_Camp.cfg,45796,1241,44,10,false,false
Base,GameLite/GameData/QuestNodePrototypes/Arch_SQ_L.cfg,4769,173,10,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/AroundWorld.cfg,16778,583,29,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/AudioContainer.cfg,455,16,2,2,false,false
Base,GameLite/GameData/QuestNodePrototypes/BarScene_Test.cfg,12944,418,15,8,false,false
Base,GameLite/GameData/QuestNodePrototypes/Bench_Daily_Perfomance_Check.cfg,6399,196,10,7,false,false
Base,GameLite/GameData/QuestNodePrototypes/Bench_PCR_preconditions.cfg,6216,194,12,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/Benchmark.cfg,17052,534,28,12,false,false
Base,GameLite/GameData/QuestNodePrototypes/Benchmark_Sphere_Main.cfg,4385,126,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/Benchmark_combat.cfg,96973,2875,130,17,true,false
Base,GameLite/GameData/QuestNodePrototypes/Bencmark_Rebra-Sphere.cfg,1892,49,3,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/Bencmark_Sphere-Rebra.cfg,1892,49,3,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/Bencmark_Sphere.cfg,1790,49,3,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/BodyParts_Malahit.cfg,25773,955,30,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/Bossfight_EquipTEST.cfg,21967,665,37,7,false,false
Base,GameLite/GameData/QuestNodePrototypes/BurntForest_GD.cfg,8330,253,16,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/BurntForest_L.cfg,6471,226,13,8,true,false
Base,GameLite/GameData/QuestNodePrototypes/BurntForest_SQ_L.cfg,6947,228,16,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_ActorPacking_Seq.cfg,2879,84,4,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E01_MQ01_Assault_Cutscene.cfg,6540,203,10,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E01_MQ01_Intro_Cutscene.cfg,4151,131,6,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E02_MQ01_Bar_Cutscene.cfg,8306,260,8,5,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E02_MQ01_ToughAwakening_Cutscene.cfg,8093,233,11,7,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E02_MQ03_Bar_Preload.cfg,5311,139,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E02_MQ03_BatyaOutOfBar_Preload.cfg,4254,127,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E02_MQ03_Pripoy_Preload.cfg,4768,135,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E02_MQ03_Solder.cfg,6869,219,9,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E03_MQ02_PsiBomb_Cutscene.cfg,7012,216,8,5,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E03_MQ02_PsiBomb_Preload.cfg,4641,135,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E03_MQ05_TerriconePeak_Cutscene.cfg,17447,484,7,5,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E03_MQ05_TerriconePeak_Cutscene_Preload.cfg,10219,167,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E03_MQ06_ScarMeeting_Cutscene.cfg,27345,795,32,10,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E03_MQ06_ScarMeeting_Cutscene_Preload.cfg,7936,146,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E03_MQ06_TerriconeVarta_Cutscene.cfg,19995,557,23,10,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E03_MQ06_TerriconeVarta_Cutscene_Preload.cfg,7415,138,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E04_MQ01_StriderAndFaust_Cutscene.cfg,6045,182,7,5,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E04_MQ01_StriderAndFaust_Preload.cfg,4224,129,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E05_MQ02_ThatNimble_Cutscene.cfg,9647,285,13,7,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E05_MQ02_ThatNimble_Preload.cfg,4972,128,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E05_MQ03_ClearSky_Cutscene.cfg,4277,131,6,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E05_MQ03_ClearSky_Preload.cfg,4306,122,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E06_MQ01_TemplesDoorstep_Cutscene.cfg,5716,167,7,5,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E06_MQ02_Agatha_Preload.cfg,7292,185,9,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E06_MQ02_Experiment_Preload.cfg,4153,129,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E06_MQ02_MeetingAgatha_Cutscene.cfg,13386,430,16,7,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E06_MQ02_Signal_A_Cutscene.cfg,17173,595,22,12,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E06_MQ02_Signal_B_Cutscene.cfg,13860,434,17,9,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E06_MQ02_TheCaribbeanExperiment_Cutscene.cfg,12048,332,14,8,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E06_MQ02_ZoneAlive_Preload.cfg,4045,129,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E06_MQ04_TheZoneIsAlive_Cutscene.cfg,17261,486,21,11,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E07_MQ01_PsiImmunity.cfg,14611,505,18,9,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E07_MQ01_PsiImmunity_Preload.cfg,4476,120,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E07_MQ03_ExtremeMeasures_Cutscene.cfg,4942,139,7,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E07_MQ03_ExtremeMeasures_Preload.cfg,4524,120,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E08_MQ01_Lazaret.cfg,4829,156,7,5,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E08_MQ03_Dvupalov_Preload.cfg,9151,159,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E08_MQ03_Lazaret_Preload.cfg,4619,131,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E08_MQ06_DeathOfFaust_Cutscene.cfg,20221,622,22,10,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E09_MQ01_TheEnemyUnseen_Cutscene.cfg,7344,214,9,7,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E09_MQ01_TheEnemyUnseen_Preloader.cfg,4131,129,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E10_MQ01_Kaymanov_Cutscene.cfg,8294,253,11,7,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E10_MQ01_Kaymanov_Preload.cfg,4340,122,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E10_MQ02_StriderOrbita.cfg,13014,446,16,8,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E10_MQ03_ScarOrbita.cfg,16580,597,23,11,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E11_MQ02_StrelokX3_Cutscene.cfg,5304,160,7,5,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E11_MQ03_Korshunov_PTS.cfg,19460,594,24,8,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E11_MQ03_Korshunov_PTS_Preloader.cfg,6975,165,8,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E11_MQ03_StrelokPTS_Cutscene.cfg,4153,124,6,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E11_MQ03_StrelokPTS_Preloader.cfg,4039,129,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E14_MQ03_01_FoundationA_Part1_Cutscene.cfg,15140,412,18,9,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E14_MQ03_01_FoundationA_Part2_Cutscene.cfg,18376,504,22,9,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E14_MQ03_01_FoundationB_Part1_Cutscene.cfg,9756,276,11,7,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E14_MQ03_01_FoundationB_Part2_Cutscene.cfg,14249,392,18,9,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E14_MQ03_01_FoundationC_Part1_Cutscene.cfg,9477,270,12,7,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E14_MQ03_01_FoundationC_Part2_Cutscene.cfg,12981,358,17,10,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E14_MQ03_01_Foundation_Bossfight_Scene1.cfg,8244,221,12,7,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E14_MQ03_01_Foundation_Bossfight_Scene2.cfg,10470,273,16,8,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E14_MQ03_01_Foundation_Bossfight_Scene3.cfg,11240,291,17,9,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E15_MQ03_MemoryCube_Cutscene.cfg,10355,306,14,10,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E15_MQ03_MemoryCube_Preload.cfg,4119,129,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E15_MQ03_TheHardestChoice_Cutscene.cfg,13771,391,18,9,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E15_MQ03_TheHardestChoice_Preload.cfg,6176,151,8,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E15_MQ04_CouldNotBeFree_Cutscene.cfg,8992,263,11,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E15_MQ04_CouldNotBeFree_Preload.cfg,4397,131,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E16_Flashbacks_Cutscene.cfg,10114,283,15,7,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E16_MQ03_DogOnALeash_Cutscene.cfg,12620,374,17,10,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E16_MQ03_Final_Skif_Cutscene.cfg,9040,253,13,10,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E16_MQ03_Final_Skif_Preload.cfg,4398,122,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E16_MQ03_Final_Strelok_Cutscene.cfg,12506,361,17,11,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E16_MQ03_Final_Strelok_Preload.cfg,4445,122,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E16_MQ03_Final_TheSpark_Cutscene.cfg,15251,438,20,14,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E16_MQ03_Final_TheWard_Cutscene.cfg,15104,426,20,13,false,false
Base,GameLite/GameData/QuestNodePrototypes/C_E16_MQ03_TotalRecall_Cutscene.cfg,7214,195,8,5,false,false
Base,GameLite/GameData/QuestNodePrototypes/CementFactory_L.cfg,2237,77,5,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/CementFactory_SQ_L.cfg,3917,133,7,2,false,false
Base,GameLite/GameData/QuestNodePrototypes/ChemicalPlant_GD.cfg,2728,82,6,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/ClothSimulation.cfg,8895,268,17,7,false,false
Base,GameLite/GameData/QuestNodePrototypes/ClothSimulationContainer.cfg,8982,248,13,5,false,false
Base,GameLite/GameData/QuestNodePrototypes/ClothSimulationContainerDespawn.cfg,1497,42,3,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/ClothSimulationContainerSpawn.cfg,1595,44,3,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/ClothSimulationContainer_2.cfg,9955,275,13,5,false,false
Base,GameLite/GameData/QuestNodePrototypes/ColdIsland_L.cfg,387,14,2,2,false,false
Base,GameLite/GameData/QuestNodePrototypes/ColdIsland_SQ_L.cfg,405,14,2,2,false,false
Base,GameLite/GameData/QuestNodePrototypes/ConcretePlant_GD.cfg,4642,133,9,7,false,false
Base,GameLite/GameData/QuestNodePrototypes/ConcretePlant_Hub.cfg,344400,11610,326,18,false,false
Base,GameLite/GameData/QuestNodePrototypes/ConcretePlant_Radio.cfg,174796,6195,161,11,false,false
Base,GameLite/GameData/QuestNodePrototypes/CoolingTowers_GD.cfg,7466,244,15,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/Cordon_GD.cfg,12608,381,23,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/Cordon_L.cfg,5660,205,10,7,false,false
Base,GameLite/GameData/QuestNodePrototypes/Cordon_SQ_L.cfg,10484,349,19,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/CrookedPeninsula_L.cfg,1127,35,3,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/CrookedPeninsula_L_RedKeepVarta_Camp.cfg,4548,123,7,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/CrookedPeninsula_SQ_L.cfg,13696,489,21,10,true,false
Base,GameLite/GameData/QuestNodePrototypes/Crutch_Illegals_Start.cfg,1236,41,3,2,false,false
Base,GameLite/GameData/QuestNodePrototypes/Crutch_Officials_Start.cfg,1247,41,3,2,false,false
Base,GameLite/GameData/QuestNodePrototypes/DA_Test_E07_SQ01.cfg,97933,3118,94,8,false,false
Base,GameLite/GameData/QuestNodePrototypes/DA_Test_E08_MQ03.cfg,53505,1630,52,9,false,false
Base,GameLite/GameData/QuestNodePrototypes/DA_Test_E11_MQ03-04.cfg,45083,1418,49,8,false,false
Base,GameLite/GameData/QuestNodePrototypes/DESPAWN.cfg,11366,379,15,13,true,false
Base,GameLite/GameData/QuestNodePrototypes/DKEnergetic_Hub.cfg,85900,2980,98,19,false,false
Base,GameLite/GameData/QuestNodePrototypes/Datalayertest.cfg,3086,98,6,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/DeadValley_L.cfg,385,14,2,2,false,false
Base,GameLite/GameData/QuestNodePrototypes/DemoMap_PsyField_Phantoms_QBP.cfg,3393,82,6,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/DemoMap_TestingBlendShapes_Quest.cfg,19399,527,21,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/DemoMap_TestingIK_Quest.cfg,6263,210,7,5,false,false
Base,GameLite/GameData/QuestNodePrototypes/DevTestMap.cfg,7322,231,10,5,false,false
Base,GameLite/GameData/QuestNodePrototypes/Duga_GD.cfg,6847,239,15,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/Duga_Loudspeakers.cfg,683119,21906,573,8,false,false
Base,GameLite/GameData/QuestNodePrototypes/E01_MQ01.cfg,293026,10346,433,50,false,false
Base,GameLite/GameData/QuestNodePrototypes/E01_MQ01_Audio.cfg,41127,1275,61,8,false,false
Base,GameLite/GameData/QuestNodePrototypes/E01_MQ01_C01.cfg,384,14,2,2,false,false
Base,GameLite/GameData/QuestNodePrototypes/E01_MQ01_C02.cfg,384,14,2,2,false,false
Base,GameLite/GameData/QuestNodePrototypes/E01_MQ01_C03.cfg,385,14,2,2,false,false
Base,GameLite/GameData/QuestNodePrototypes/E01_MQ01_C04.cfg,12361,373,17,10,false,false
Base,GameLite/GameData/QuestNodePrototypes/E01_MQ01_C05.cfg,3234,107,6,5,false,false
Base,GameLite/GameData/QuestNodePrototypes/E01_MQ01_ScanerDialogDelay.cfg,2356,69,5,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/E01_MQ01_VFX.cfg,4882,141,10,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ01.cfg,111621,3999,152,35,true,false
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ01_Audio.cfg,1533,48,4,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ01_VFX.cfg,385,14,2,2,false,false
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ02.cfg,142120,5010,178,29,true,false
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ02_Audio.cfg,25025,810,36,7,false,false
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ02_C01.cfg,34889,1075,42,16,false,false
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ02_C02.cfg,119659,3599,130,26,false,false
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ02_C03.cfg,139099,4771,169,28,true,false
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ02_C04.cfg,1029,33,3,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ02_C05.cfg,385,14,2,2,false,false
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ03.cfg,115615,4226,146,27,false,false
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ03_Audio.cfg,4121,132,8,5,false,false
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ03_C01.cfg,5110,165,8,5,false,false
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ03_C02.cfg,1133,34,3,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ03_C04.cfg,1008,33,3,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ03_C05.cfg,508056,16878,544,41,true,false
Base,GameLite/GameData/QuestNodePrototypes/E02_SQ01.cfg,280709,10056,363,41,true,false
Base,GameLite/GameData/QuestNodePrototypes/E02_SQ01_Audio.cfg,4316,130,8,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/E02_SQ01_VFX.cfg,385,14,2,2,false,false
Base,GameLite/GameData/QuestNodePrototypes/E02_SQ02.cfg,37998,1396,51,13,false,false
Base,GameLite/GameData/QuestNodePrototypes/E02_SQ02_Audio.cfg,397,14,2,2,false,false
Base,GameLite/GameData/QuestNodePrototypes/E02_SQ02_C01.cfg,1027,33,3,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/E02_SQ02_C02.cfg,1033,33,3,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/E02_SQ02_P.cfg,18419,598,21,15,false,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ01.cfg,861581,30121,959,44,true,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ01_Audio.cfg,399,14,2,2,false,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ02.cfg,309863,11023,402,44,true,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ02_Audio.cfg,12536,369,19,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ02_C1.cfg,3752,121,4,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ02_C2.cfg,1938,64,3,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ02_C3.cfg,1953,64,3,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ02_C4.cfg,1944,64,3,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ02_P.cfg,129471,4447,97,10,true,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ03.cfg,87685,2562,90,12,false,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ03_Audio.cfg,7642,236,10,5,false,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ03_C1.cfg,11183,308,12,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ04.cfg,19360,603,25,10,false,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ04_Audio.cfg,399,14,2,2,false,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ05.cfg,149029,5155,201,38,false,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ05_Audio.cfg,5060,161,9,5,false,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ05_C01.cfg,79247,2369,90,18,false,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ05_C02.cfg,663,24,2,2,false,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ05_C03.cfg,663,24,2,2,false,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ05_C04.cfg,663,24,2,2,false,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ05_C05.cfg,663,24,2,2,false,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ05_C06.cfg,5654,175,10,7,false,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ05_C07.cfg,3559,110,6,5,false,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ05_P.cfg,108597,3713,162,31,true,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ06.cfg,364784,12729,449,33,false,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ06_Audio.cfg,399,14,2,2,false,false
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ06_C01.cfg,2136,81,3,3,false,false
