Source,File,PresetSID,ALifeLairExpansionTime,ALifeLairExpansionRadius,ALifeStartSimulation,Faction,ALifeLairExpansionBattleChance,Goal_TacticType,Goal_MinLairs,Goal_MaxLairs,OtherFactionFields
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Militaries,50,EALifeFactionGoalType::Normal,4,9,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Militaries,50,EALifeFactionGoalType::Defensive,10,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Duty,50,EALifeFactionGoalType::Aggressive,1,3,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Duty,50,EALifeFactionGoalType::Normal,4,20,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Duty,50,EALifeFactionGoalType::Defensive,21,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Freedom,50,EALifeFactionGoalType::Aggressive,1,3,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Freedom,50,EALifeFactionGoalType::Normal,4,20,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Freedom,50,EALifeFactionGoalType::Defensive,21,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Varta,50,EALifeFactionGoalType::Aggressive,1,3,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Varta,50,EALifeFactionGoalType::Normal,4,20,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Varta,50,EALifeFactionGoalType::Defensive,21,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Spark,50,EALifeFactionGoalType::Aggressive,1,3,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Spark,50,EALifeFactionGoalType::Normal,3,15,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Spark,50,EALifeFactionGoalType::Defensive,16,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Corpus,50,EALifeFactionGoalType::Aggressive,1,2,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Corpus,50,EALifeFactionGoalType::Normal,3,15,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Corpus,50,EALifeFactionGoalType::Defensive,16,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Mercenaries,50,EALifeFactionGoalType::Aggressive,1,2,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Mercenaries,50,EALifeFactionGoalType::Normal,3,12,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Mercenaries,50,EALifeFactionGoalType::Defensive,13,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Bloodsucker,50,EALifeFactionGoalType::Aggressive,1,7,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Bloodsucker,50,EALifeFactionGoalType::Normal,8,31,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Bloodsucker,50,EALifeFactionGoalType::Defensive,32,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Zombie,50,EALifeFactionGoalType::Aggressive,1,6,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Zombie,50,EALifeFactionGoalType::Normal,7,23,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Zombie,50,EALifeFactionGoalType::Defensive,24,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Burer,50,EALifeFactionGoalType::Aggressive,1,2,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Burer,50,EALifeFactionGoalType::Normal,3,7,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Burer,50,EALifeFactionGoalType::Defensive,8,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Deer,50,EALifeFactionGoalType::Aggressive,1,2,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Deer,50,EALifeFactionGoalType::Normal,3,7,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Deer,50,EALifeFactionGoalType::Defensive,8,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Snork,50,EALifeFactionGoalType::Aggressive,1,7,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Snork,50,EALifeFactionGoalType::Normal,8,31,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Snork,50,EALifeFactionGoalType::Defensive,32,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Chimera,50,EALifeFactionGoalType::Aggressive,1,7,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Chimera,50,EALifeFactionGoalType::Normal,8,31,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Chimera,50,EALifeFactionGoalType::Defensive,32,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Pseudodog,50,EALifeFactionGoalType::Aggressive,1,7,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Pseudodog,50,EALifeFactionGoalType::Normal,8,31,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Pseudodog,50,EALifeFactionGoalType::Defensive,32,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Boar,50,EALifeFactionGoalType::Aggressive,1,7,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Boar,50,EALifeFactionGoalType::Normal,8,31,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Boar,50,EALifeFactionGoalType::Defensive,32,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Flesh,50,EALifeFactionGoalType::Aggressive,1,7,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Flesh,50,EALifeFactionGoalType::Normal,8,31,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Flesh,50,EALifeFactionGoalType::Defensive,32,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Rat,50,EALifeFactionGoalType::Aggressive,1,6,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Rat,50,EALifeFactionGoalType::Normal,7,23,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Rat,50,EALifeFactionGoalType::Defensive,24,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Tushkan,50,EALifeFactionGoalType::Aggressive,1,6,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Tushkan,50,EALifeFactionGoalType::Normal,7,23,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Tushkan,50,EALifeFactionGoalType::Defensive,24,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Blinddog,50,EALifeFactionGoalType::Aggressive,1,7,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Blinddog,50,EALifeFactionGoalType::Normal,8,31,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Blinddog,50,EALifeFactionGoalType::Defensive,32,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Poltergeist,50,EALifeFactionGoalType::Aggressive,1,7,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Poltergeist,50,EALifeFactionGoalType::Normal,8,15,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Poltergeist,50,EALifeFactionGoalType::Defensive,16,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Controller,50,EALifeFactionGoalType::Aggressive,1,7,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Controller,50,EALifeFactionGoalType::Normal,8,15,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Controller,50,EALifeFactionGoalType::Defensive,16,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Pseudogiant,50,EALifeFactionGoalType::Aggressive,1,7,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Pseudogiant,50,EALifeFactionGoalType::Normal,8,10,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Pseudogiant,50,EALifeFactionGoalType::Defensive,11,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Bayun,50,EALifeFactionGoalType::Aggressive,1,7,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Bayun,50,EALifeFactionGoalType::Normal,8,16,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Bayun,50,EALifeFactionGoalType::Defensive,17,900,
DLC1,DLCGameData/DLC1/AlifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,DefaultDLC,50,500000,48,MoldyBlinddog,50,EALifeFactionGoalType::Aggressive,1,7,
DLC1,DLCGameData/DLC1/AlifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,DefaultDLC,50,500000,48,MoldyBlinddog,50,EALifeFactionGoalType::Normal,8,31,
DLC1,DLCGameData/DLC1/AlifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,DefaultDLC,50,500000,48,MoldyBlinddog,50,EALifeFactionGoalType::Defensive,32,900,
DLC1,DLCGameData/DLC1/AlifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,DefaultDLC,50,500000,48,IkarVarta,50,EALifeFactionGoalType::Aggressive,1,3,
DLC1,DLCGameData/DLC1/AlifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,DefaultDLC,50,500000,48,IkarVarta,50,EALifeFactionGoalType::Normal,4,20,
DLC1,DLCGameData/DLC1/AlifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,DefaultDLC,50,500000,48,IkarVarta,50,EALifeFactionGoalType::Defensive,21,900,
