EnumFamily,EnumValue,BaseGameCount,DLC1Count,DeluxeCount,UltimateCount,PreOrderCount,TotalCount,ExampleNodeSID,ExampleFile
EDialogEventType,Combat_Wounded_HealingGratitude,0,3,0,0,0,3,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,Combat_Zombie_Attack,1,2,0,0,0,3,E05_SQ01_NPCBark_BP_NPCPlaceholder_E05_SQ01_VartaGuy3,GameLite/GameData/QuestNodePrototypes/E05_SQ01.cfg
EDialogEventType,HitReaction_Anomaly,0,3,0,0,0,3,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,HitReaction_Transformation,0,3,0,0,0,3,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,CallPlayer,0,2,0,0,0,2,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,Combat_Action_FriendlyFire,0,2,0,0,0,2,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,Combat_Wounded_Grunt_HealReceive,0,2,0,0,0,2,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,DialogAction_Laugh,0,2,0,0,0,2,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,Emission_LeaderEnd,0,2,0,0,0,2,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,Emission_LeaderStart,0,2,0,0,0,2,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,HitReaction_Mutant,0,2,0,0,0,2,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,Interact_Bump,0,2,0,0,0,2,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,Interact_Friendly,0,2,0,0,0,2,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,Interact_HideWeapon,0,2,0,0,0,2,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,Interact_Neutral,0,2,0,0,0,2,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,Interact_NonFriendly,0,2,0,0,0,2,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,Interact_SpeakToLeader,0,2,0,0,0,2,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,Joke,0,2,0,0,0,2,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,Peaceful_CorpseHubComment,0,2,0,0,0,2,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,Peaceful_DropCorpse,0,2,0,0,0,2,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,Peaceful_LootingEnemyCorpse,0,2,0,0,0,2,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,Peaceful_LootingFriendlyCorpse,0,2,0,0,0,2,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,Relax_EmissionFirstMessage,0,2,0,0,0,2,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,Relax_EmissionSecondMessage,0,2,0,0,0,2,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,Relax_EmissionThirdMessage,0,2,0,0,0,2,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,RunOn,0,2,0,0,0,2,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EEmissionStage,ShockWave,9,1,0,0,0,10,EQ11_OnEmissionStageActivated,GameLite/GameData/QuestNodePrototypes/EQ11.cfg
EEmissionStage,ActivateQuest,5,1,0,0,0,6,EQ11_OnEmissionStageActivated_CA,GameLite/GameData/QuestNodePrototypes/EQ11.cfg
EEmissionStage,AfterTheStorm,3,0,0,0,0,3,QTC_Emission_OnEmissionStageActivated_4,GameLite/GameData/QuestNodePrototypes/QTC_Emission.cfg
EEmissionStage,Active,2,0,0,0,0,2,QTC_Emission_OnEmissionStageActivated_3,GameLite/GameData/QuestNodePrototypes/QTC_Emission.cfg
EEmissionStage,BeforeTheStorm,2,0,0,0,0,2,QTC_Emission_OnEmissionStageActivated,GameLite/GameData/QuestNodePrototypes/QTC_Emission.cfg
EFlashlightAction,TurnOff,30,25,0,0,0,55,C_E02_MQ01_ToughAwakening_Cutscene_FlashlightOnOff_BP_NPC_Richter,GameLite/GameData/QuestNodePrototypes/C_E02_MQ01_ToughAwakening_Cutscene.cfg
EFlashlightAction,TurnOn,7,7,0,0,0,14,C_E05_MQ02_ThatNimble_Cutscene_FlashlightOnOff_Player,GameLite/GameData/QuestNodePrototypes/C_E05_MQ02_ThatNimble_Cutscene.cfg
EFlashlightAction,Disable,1,0,0,0,0,1,QTC_SaveLoad_FlashlightOnOff_Player,GameLite/GameData/QuestNodePrototypes/QTC_SaveLoad.cfg
EFleeType,FleeFromCurrentLocation,9,0,0,0,0,9,ClothSimulationContainer_2_SetAIBehavior_BP_NPCPlaceholder,GameLite/GameData/QuestNodePrototypes/ClothSimulationContainer_2.cfg
EFleeType,FleeFromPlayer,4,0,0,0,0,4,AI2QuestBP_Flee,GameLite/GameData/QuestNodePrototypes/AI2QuestBP.cfg
EGSCTeleportType,None,961,446,20,6,4,1437,ANCQ01_TeleportCharacter_Start,GameLite/GameData/QuestNodePrototypes/ANCQ01.cfg
EGSCTeleportType,Classic,15,33,0,0,0,48,E08_MQ01_TeleportCharacter_PlayerToContainers,GameLite/GameData/QuestNodePrototypes/E08_MQ01.cfg
EGSCTeleportType,Instant,26,13,0,0,0,39,Bench_Daily_Perfomance_Check_TeleportCharacter_Player,GameLite/GameData/QuestNodePrototypes/Bench_Daily_Perfomance_Check.cfg
EGSCTeleportType,Default,8,7,0,0,0,15,E06_MQ02_TeleportCharacter_PlayerAfterIllusion,GameLite/GameData/QuestNodePrototypes/E06_MQ02.cfg
EGSCTeleportType,Immersive,8,0,0,0,0,8,C_E08_MQ06_DeathOfFaust_Cutscene_TeleportCharacter_Player,GameLite/GameData/QuestNodePrototypes/C_E08_MQ06_DeathOfFaust_Cutscene.cfg
EGSCTeleportType,Bubble,0,2,0,0,0,2,DLC01_MQ06_TeleportCharacter_Player_TachenkoMemorial,DLCGameData/DLC1/QuestNodePrototypes.cfg
EGSCTeleportType,Quest,2,0,0,0,0,2,Arch_Bossfight_Faust_TeleportCharacter_Player,GameLite/GameData/QuestNodePrototypes/Arch_Bossfight_Faust.cfg
EGameDifficulty,Hard,0,1,0,0,0,1,DLC01_CNPP_L_If_Difficulty_Difficulty_Hard,DLCGameData/DLC1/QuestNodePrototypes.cfg
EGameDifficulty,Medium,0,1,0,0,0,1,DLC01_CNPP_L_If_Difficulty_Medium,DLCGameData/DLC1/QuestNodePrototypes.cfg
EGameDifficulty,Stalker,0,1,0,0,0,1,DLC01_CNPP_L_If_Difficulty_Difficulty_Stalker,DLCGameData/DLC1/QuestNodePrototypes.cfg
EGlobalVariableType,String,615,68,29,19,0,731,ANCQ103_If,GameLite/GameData/QuestNodePrototypes/ANCQ103.cfg
EGlobalVariableType,Int,592,63,29,19,0,703,ANCQ103_If,GameLite/GameData/QuestNodePrototypes/ANCQ103.cfg
EGoalPriority,HigherThanALife,4423,1974,7,0,0,6404,A-life_interrupts_SetAIBehavior_BP_NPCPlaceholder71,GameLite/GameData/QuestNodePrototypes/A-life_interrupts.cfg
EGoalPriority,HigherThanCombat,834,165,1,0,0,1000,AI2QuestBP_FollowPlayer,GameLite/GameData/QuestNodePrototypes/AI2QuestBP.cfg
EGoalPriority,HigherThanAnomaly,333,212,0,0,0,545,AI_QTC_SetAIBehavior_not_set!_1,GameLite/GameData/QuestNodePrototypes/AI_QTC.cfg
EGoalPriority,HigherThanThreat,428,26,1,0,0,455,ALifeGym_QuestBP_SetAIBehavior_BP_SquadPlaceholder,GameLite/GameData/QuestNodePrototypes/ALifeGym_QuestBP.cfg
EGoalPriority,HigherThanEmission,241,90,0,0,0,331,E04_MQ01_SetAIBehavior_BP_NPC_Strider_3,GameLite/GameData/QuestNodePrototypes/E04_MQ01.cfg
EGuardType,GuardTarget,2,0,0,0,0,2,AI2QuestBP_GuardNPC_1,GameLite/GameData/QuestNodePrototypes/AI2QuestBP.cfg
EGuardType,GuardPlayer,1,0,0,0,0,1,AI2QuestBP_GuardPlayer_1,GameLite/GameData/QuestNodePrototypes/AI2QuestBP.cfg
EGuardType,GuardZone,1,0,0,0,0,1,AI2QuestBP_GuardZone_1,GameLite/GameData/QuestNodePrototypes/AI2QuestBP.cfg
EHealingType,HoldComponent,18,16,0,0,0,34,E03_MQ05_P_SetWounded_BP_NPC_Maloi_True,GameLite/GameData/QuestNodePrototypes/E03_MQ05_P.cfg
EHealingType,Quest,22,1,0,0,0,23,E02_SQ01_SetWounded_Gloomy,GameLite/GameData/QuestNodePrototypes/E02_SQ01.cfg
EHealingType,Dialog,11,0,0,0,0,11,E04_MQ02_SetWounded_Foma,GameLite/GameData/QuestNodePrototypes/E04_MQ02.cfg
EHideViewType,Unhide,287,172,1,0,0,460,Arch_Bossfight_Faust_ToggleNPCHidden_FaustUnhide,GameLite/GameData/QuestNodePrototypes/Arch_Bossfight_Faust.cfg
EHideViewType,ForceHide,264,102,0,0,0,366,Arch_Bossfight_Faust_ToggleNPCHidden_FaustForceHide,GameLite/GameData/QuestNodePrototypes/Arch_Bossfight_Faust.cfg
EHideViewType,Hide,60,8,2,0,0,70,E02_MQ03_C05_ToggleNPCHidden_Richter_Hide,GameLite/GameData/QuestNodePrototypes/E02_MQ03_C05.cfg
EIgnoreDamageType,None,4370,1363,20,3,2,5758,A-life_interrupts_SpawnObjectNPCMonster_BP_SquadPlaceholder21,GameLite/GameData/QuestNodePrototypes/A-life_interrupts.cfg
EIgnoreDamageType,Invulnerable,333,160,0,0,0,493,AI2QuestBP_SpawnObjectNPCMonster_not_set!_3,GameLite/GameData/QuestNodePrototypes/AI2QuestBP.cfg
EIgnoreDamageType,Unkillable,121,75,0,0,0,196,A-life_interrupts_SpawnObjectNPCMonster_BP_NPCPlaceholder71,GameLite/GameData/QuestNodePrototypes/A-life_interrupts.cfg
EIgnoreDamageType,Unfocusable,55,67,0,0,0,122,C_E10_MQ03_ScarOrbita_SpawnObjectNPCMonster_not_set!,GameLite/GameData/QuestNodePrototypes/C_E10_MQ03_ScarOrbita.cfg
EIgnoreDamageType,IgnoreFallDamage,0,1,0,0,0,1,DLC01_SQ09_SetCharacterParam_BP_NPCPlaceholder_Hrom-Merc,DLCGameData/DLC1/QuestNodePrototypes.cfg
EIgnoreDamageType,IgnorePSY,1,0,0,0,0,1,ANCQ02_SetCharacterParam_BP_NPC_ANCQ02_Leshyi,GameLite/GameData/QuestNodePrototypes/ANCQ02.cfg
EJournalAction,Start,2000,559,25,13,5,2602,E01_MQ01_EnterTheZone_Start,GameLite/GameData/QuestNodePrototypes/E01_MQ01.cfg
EJournalAction,Finish,1677,495,22,11,5,2210,E01_MQ01_EnterTheZone_Finish,GameLite/GameData/QuestNodePrototypes/E01_MQ01.cfg
EJournalAction,Cancel,522,72,4,1,0,599,E01_MQ01_SetJournal_E01_MQ01_CaveScanningPoint,GameLite/GameData/QuestNodePrototypes/E01_MQ01.cfg
EJournalAction,Fail,256,38,4,0,0,298,E01_MQ01_Fail_LeaveScannerZone,GameLite/GameData/QuestNodePrototypes/E01_MQ01.cfg
EJournalAction,ChangeStageDescription,0,2,0,0,0,2,DLC01_MQ10_B01_C01_SetJournal_ChangeDescription_TalkZulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EJournalEntity,QuestStage,4431,1283,52,22,9,5797,Arch_L_Assault_E08_SendSignal_BP_DoorView.ForceCloseDoorReceiver_3_Pin_0,GameLite/GameData/QuestNodePrototypes/Arch_L_Assault_E08.cfg
EJournalEntity,Quest,1299,365,18,5,5,1692,ANCQ28_Technical_SpawnItems_WildIsland_Pin_0,GameLite/GameData/QuestNodePrototypes/ANCQ28.cfg
EJournalState,Active,885,326,11,1,1,1224,Arch_L_SendSignal_KillVolume_Duga_Global_01.ActivateVolumeSignal_Pin_0,GameLite/GameData/QuestNodePrototypes/Arch_L.cfg
