Source,File,NodeSID,QuestSID,NodeType,ConditionType,EventType,TargetQuestGuid,TargetLairPlaceholder,FactionWarPlaceholder,Faction,PresetName,Activate,ForceDespawn,ConnectionCount,TargetResolvedIn,TargetLevelName,AllOtherFields
Base,GameLite/GameData/QuestNodePrototypes/ANCQ23.cfg,ANCQ23_Protect_BP_ANCQ04_DeadbodyAtas,ANCQ23,ProtectLairNPCSquadItem,,,89B99360489E31D46C45B7AA8103ADBC,,,,,,,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/Swamp_ANC_LogicLevel_WP/89B99360489E31D46C45B7AA8103ADBC.cfg,WorldMap_WP/Swamp_ANC_LogicLevel_WP,
Base,GameLite/GameData/QuestNodePrototypes/ANCQ23.cfg,ANCQ23_Protect_BP_ANCQ04_DeadbodyBandit,ANCQ23,ProtectLairNPCSquadItem,,,F856F0C441521B358E0F9A9F3CF25C1A,,,,,,,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/Swamp_ANC_LogicLevel_WP/F856F0C441521B358E0F9A9F3CF25C1A.cfg,WorldMap_WP/Swamp_ANC_LogicLevel_WP,
Base,GameLite/GameData/QuestNodePrototypes/ANCQ23_P.cfg,ANCQ23_P_Protect_Container,ANCQ23_P,ProtectLairNPCSquadItem,,,D1B574E34119FE39771C768E067FE464,,,,,,,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/Swamp_ANC_LogicLevel_WP/D1B574E34119FE39771C768E067FE464.cfg,WorldMap_WP/Swamp_ANC_LogicLevel_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/ANCQ23_P.cfg,ANCQ23_P_Protect_Container_1,ANCQ23_P,ProtectLairNPCSquadItem,,,D1B574E34119FE39771C768E067FE464,,,,,,,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/Swamp_ANC_LogicLevel_WP/D1B574E34119FE39771C768E067FE464.cfg,WorldMap_WP/Swamp_ANC_LogicLevel_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/Arch_L.cfg,Arch_L_ToggleLairActivity_MonolithKPP_Activate,Arch_L,ToggleLairActivity,,,E3ED3E794153D5400AD27B946FAF9935,,,,,true,false,4,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/E3ED3E794153D5400AD27B946FAF9935.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/Arch_L.cfg,Arch_L_ToggleLairActivity_MonolithKPP_Despawn,Arch_L,ToggleLairActivity,,,E3ED3E794153D5400AD27B946FAF9935,,,,,false,true,2,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/E3ED3E794153D5400AD27B946FAF9935.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/Arch_L.cfg,Arch_L_ToggleLairActivity_TechCheckpoint_Monolith_Activate,Arch_L,ToggleLairActivity,,,49CD0BF24993202ED81B07A7BBDC98C3,,,,,true,false,2,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/49CD0BF24993202ED81B07A7BBDC98C3.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/Arch_L.cfg,Arch_L_ToggleLairActivity_TechCheckpoint_Monolith_Activate_2,Arch_L,ToggleLairActivity,,,49CD0BF24993202ED81B07A7BBDC98C3,,,,,true,false,4,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/49CD0BF24993202ED81B07A7BBDC98C3.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/Arch_L.cfg,Arch_L_ToggleLairActivity_TechCheckpoint_Monolith_Despawn,Arch_L,ToggleLairActivity,,,49CD0BF24993202ED81B07A7BBDC98C3,,,,,false,true,2,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/49CD0BF24993202ED81B07A7BBDC98C3.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/Arch_L.cfg,Arch_L_ToggleLairActivity_TechCheckpoint_Monolith_Despawn_1,Arch_L,ToggleLairActivity,,,49CD0BF24993202ED81B07A7BBDC98C3,,,,,false,true,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/49CD0BF24993202ED81B07A7BBDC98C3.cfg,WorldMap_WP,NodePrototypeVersion=2
Base,GameLite/GameData/QuestNodePrototypes/Arch_L_Assault_E08.cfg,Arch_L_Assault_E08_ToggleLairActivity_KPPCollectorMercenaries,Arch_L_Assault_E08,ToggleLairActivity,,,2F317C7F4EE900D188B590B2737EF8BF,,,,,true,false,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/2F317C7F4EE900D188B590B2737EF8BF.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/Arch_L_Assault_E08.cfg,Arch_L_Assault_E08_ToggleLairActivity_SubstationNeutrals,Arch_L_Assault_E08,ToggleLairActivity,,,D47543EA446926ADDECF219F511756DD,,,,,true,false,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/D47543EA446926ADDECF219F511756DD.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/Arch_L_Assault_E08.cfg,Arch_L_Assault_E08_ToggleLairActivity_VehiclePark_Bandits,Arch_L_Assault_E08,ToggleLairActivity,,,C2350A4840B46F1A36917CBEFA8FD69C,,,,,true,false,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/C2350A4840B46F1A36917CBEFA8FD69C.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/Benchmark_combat.cfg,Benchmark_combat_ToggleLairActivity_BlindDogs_OldMill,Benchmark_combat,ToggleLairActivity,,,D308D20B427AA0AD32E220B53B58B68F,,,,,false,true,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/D308D20B427AA0AD32E220B53B58B68F.cfg,WorldMap_WP,
Base,GameLite/GameData/QuestNodePrototypes/Benchmark_combat.cfg,Benchmark_combat_ToggleLairActivity_Bloodsucker_OldMill,Benchmark_combat,ToggleLairActivity,,,8D8284A749DA6099B2CC42B171F61449,,,,,false,true,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/8D8284A749DA6099B2CC42B171F61449.cfg,WorldMap_WP,
Base,GameLite/GameData/QuestNodePrototypes/Benchmark_combat.cfg,Benchmark_combat_ToggleLairActivity_Military_EastCPP,Benchmark_combat,ToggleLairActivity,,,F64E5FD14276B7683A39EEB75DC3E0A2,,,,,false,false,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/F64E5FD14276B7683A39EEB75DC3E0A2.cfg,WorldMap_WP,
Base,GameLite/GameData/QuestNodePrototypes/Benchmark_combat.cfg,Benchmark_combat_ToggleLairActivity_Military_SphereCentralCPP,Benchmark_combat,ToggleLairActivity,,,6DC693184D37EE5A421176A86C9A7632,,,,,false,true,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/6DC693184D37EE5A421176A86C9A7632.cfg,WorldMap_WP,
Base,GameLite/GameData/QuestNodePrototypes/BurntForest_L.cfg,BurntForest_L_ToggleLairActivity,BurntForest_L,ToggleLairActivity,,,FAFCC2754658C28E5CF2B990372CFC05,,,,,false,false,2,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/FAFCC2754658C28E5CF2B990372CFC05.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/CrookedPeninsula_SQ_L.cfg,CrookedPeninsula_SQ_L_ToggleLairActivity,CrookedPeninsula_SQ_L,ToggleLairActivity,,,0893E37C4F9DF6E4F20AD5BC1A943E1E,,,,,false,true,2,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/0893E37C4F9DF6E4F20AD5BC1A943E1E.cfg,WorldMap_WP,NodePrototypeVersion=2
Base,GameLite/GameData/QuestNodePrototypes/CrookedPeninsula_SQ_L.cfg,CrookedPeninsula_SQ_L_ToggleLairActivity_1,CrookedPeninsula_SQ_L,ToggleLairActivity,,,26610D404D4A2A692C01B0919C501948,,,,,true,false,2,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/26610D404D4A2A692C01B0919C501948.cfg,WorldMap_WP,NodePrototypeVersion=2
Base,GameLite/GameData/QuestNodePrototypes/CrookedPeninsula_SQ_L.cfg,CrookedPeninsula_SQ_L_ToggleLairActivity_2,CrookedPeninsula_SQ_L,ToggleLairActivity,,,26610D404D4A2A692C01B0919C501948,,,,,false,true,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/26610D404D4A2A692C01B0919C501948.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/DESPAWN.cfg,DESPAWN_LAIR,DESPAWN,SpawnLair,,,02040B2E4C65A2F6FF29D7AD9062EEAF,,,,,,,2,,,IgnoreDamageType=EIgnoreDamageType::None;SpawnHidden=false;SpawnNodeExcludeType=ESpawnNodeExcludeType::SeamlessDespawn
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ01.cfg,E02_MQ01_ToggleLairActivity_BlindDog,E02_MQ01,ToggleLairActivity,,,174301794E4193B676D05D872DD4B6D2,,,,,true,false,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/174301794E4193B676D05D872DD4B6D2.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ01.cfg,E02_MQ01_ToggleLairActivity_Flesh,E02_MQ01,ToggleLairActivity,,,DC7BC0254FFDFF5B9D02069E9F7EE919,,,,,true,false,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/DC7BC0254FFDFF5B9D02069E9F7EE919.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ02.cfg,E02_MQ02_ToggleLairActivity_BlindDogLair,E02_MQ02,ToggleLairActivity,,,D308D20B427AA0AD32E220B53B58B68F,,,,,true,false,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/D308D20B427AA0AD32E220B53B58B68F.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ02.cfg,E02_MQ02_ToggleLairActivity_BloodsuckerCave,E02_MQ02,ToggleLairActivity,,,8D8284A749DA6099B2CC42B171F61449,,,,,true,false,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/8D8284A749DA6099B2CC42B171F61449.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ02_C03.cfg,E02_MQ02_C03_ToggleLairActivity_BlindDogLair,E02_MQ02_C03,ToggleLairActivity,,,D308D20B427AA0AD32E220B53B58B68F,,,,,false,true,0,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/D308D20B427AA0AD32E220B53B58B68F.cfg,WorldMap_WP,NodePrototypeVersion=1;Launchers=
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ02_C03.cfg,E02_MQ02_C03_ToggleLairActivity_BloodsuckerCave,E02_MQ02_C03,ToggleLairActivity,,,8D8284A749DA6099B2CC42B171F61449,,,,,false,true,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/8D8284A749DA6099B2CC42B171F61449.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ02_C03.cfg,E02_MQ02_C03_ToggleLairActivity_BloodsuckerCave_1,E02_MQ02_C03,ToggleLairActivity,,,8D8284A749DA6099B2CC42B171F61449,,,,,false,true,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/8D8284A749DA6099B2CC42B171F61449.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ03_C05.cfg,E02_MQ03_C05_ToggleLairActivity_RibsPolter,E02_MQ03_C05,ToggleLairActivity,,,A8CD98FB4ECC4296836B32B6EE4CADBE,,,,,true,false,2,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/A8CD98FB4ECC4296836B32B6EE4CADBE.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ03_C05.cfg,E02_MQ03_C05_ToggleLairActivity_UndergroundRats,E02_MQ03_C05,ToggleLairActivity,,,51AC03C6484AD7875F437B9D566DD079,,,,,true,false,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/51AC03C6484AD7875F437B9D566DD079.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/E02_MQ03_C05.cfg,E02_MQ03_C05_ToggleLairActivity_UndergroundRats2,E02_MQ03_C05,ToggleLairActivity,,,98C2B6624A9395BC5FB135B586BF8EB5,,,,,true,false,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/98C2B6624A9395BC5FB135B586BF8EB5.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/E02_SQ01.cfg,E02_SQ01_ToggleLairActivity_Bandits,E02_SQ01,ToggleLairActivity,,,C6CCCC7048E6BA3199554BB09101A1DF,,,,,false,false,3,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/C6CCCC7048E6BA3199554BB09101A1DF.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/E02_SQ01.cfg,E02_SQ01_ToggleLairActivity_EnableBandits,E02_SQ01,ToggleLairActivity,,,C6CCCC7048E6BA3199554BB09101A1DF,,,,,true,false,4,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/C6CCCC7048E6BA3199554BB09101A1DF.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/E02_SQ01.cfg,E02_SQ01_ToggleLairActivity_EnableStalkers,E02_SQ01,ToggleLairActivity,,,9ED4DF7942E397934D69D796EFCB2B0D,,,,,true,false,4,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/9ED4DF7942E397934D69D796EFCB2B0D.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/E02_SQ01.cfg,E02_SQ01_ToggleLairActivity_Stalkers,E02_SQ01,ToggleLairActivity,,,9ED4DF7942E397934D69D796EFCB2B0D,,,,,true,false,3,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/9ED4DF7942E397934D69D796EFCB2B0D.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ01.cfg,E03_MQ01_ToggleLairActivity_DepoVarta_Activate,E03_MQ01,ToggleLairActivity,,,426CD3964862052EE08179A5DB041859,,,,,true,false,2,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/426CD3964862052EE08179A5DB041859.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ01.cfg,E03_MQ01_ToggleLairActivity_Depo_Bandit_Deactivate,E03_MQ01,ToggleLairActivity,,,F4B0122C474BAA578B22CF89EB800E0B,,,,,false,true,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/F4B0122C474BAA578B22CF89EB800E0B.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ01.cfg,E03_MQ01_ToggleLairActivity_Depo_Ward_Activate,E03_MQ01,ToggleLairActivity,,,426CD3964862052EE08179A5DB041859,,,,,true,false,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/426CD3964862052EE08179A5DB041859.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ01.cfg,E03_MQ01_ToggleLairActivity_Outpost_Activate,E03_MQ01,ToggleLairActivity,,,AA8D02E24242784DF2B8FFB268D997E1,,,,,true,false,1,,,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ01.cfg,E03_MQ01_ToggleLairActivity_Wards_Outpost_Activate,E03_MQ01,ToggleLairActivity,,,AA8D02E24242784DF2B8FFB268D997E1,,,,,true,false,1,,,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ01.cfg,E03_MQ01_ToggleLairActivity_Wards_Outpost_Deactivate,E03_MQ01,ToggleLairActivity,,,AA8D02E24242784DF2B8FFB268D997E1,,,,,false,true,1,,,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ02.cfg,E03_MQ02_ToggleLairActivity_Isolator,E03_MQ02,ToggleLairActivity,,,F976F1F74D7BEB25F02A989A833767C5,,,,,false,true,1,,,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ02.cfg,E03_MQ02_ToggleLairActivity_Isolator_1,E03_MQ02,ToggleLairActivity,,,F976F1F74D7BEB25F02A989A833767C5,,,,,true,false,2,,,NodePrototypeVersion=3
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ02.cfg,E03_MQ02_ToggleLairActivity_Isolator_2,E03_MQ02,ToggleLairActivity,,,F976F1F74D7BEB25F02A989A833767C5,,,,,true,false,2,,,NodePrototypeVersion=2
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ02.cfg,E03_MQ02_ToggleLairActivity_OldFactory_Neutral,E03_MQ02,ToggleLairActivity,,,C78B5F4B4F599F319839D5BDAA271845,,,,,false,true,1,,,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/E03_MQ02.cfg,E03_MQ02_ToggleLairActivity_OldFactory_Neutral_1,E03_MQ02,ToggleLairActivity,,,C78B5F4B4F599F319839D5BDAA271845,,,,,true,false,2,,,NodePrototypeVersion=3
