Source,SID,Name,X,Y,Z,Yaw,RequiredGlobalVariables,Notes
base-regionmusic,Bolota,Bolota,,,,,,from RegionMusicPrototypes (no world coords in file); Region=ERegion::Bolota; MusicState=; refkey=[0]
base-regionmusic,NIICHAZ,NIICHAZ,,,,,,from RegionMusicPrototypes (no world coords in file); Region=ERegion::NIICHAZ; MusicState=; refkey=[0]; RegionSIDGlobalVariable=MUS_Sircaa_Region_Mood
base-regionmusic,Gradirni,Gradirni,,,,,,from RegionMusicPrototypes (no world coords in file); Region=ERegion::Gradirni; MusicState=; refkey=[0]
base-regionmusic,Malahit,Malahit,,,,,,from RegionMusicPrototypes (no world coords in file); Region=ERegion::Malahit; MusicState=; refkey=[0]
base-regionmusic,Duga,Duga,,,,,,from RegionMusicPrototypes (no world coords in file); Region=ERegion::Duga; MusicState=; refkey=[0]; RegionSIDGlobalVariable=MUS_Duga_Region_Mood
base-regionmusic,Rostock,Rostock,,,,,,from RegionMusicPrototypes (no world coords in file); Region=ERegion::Rostock; MusicState=; refkey=[0]
base-regionmusic,Yantar,Yantar,,,,,,from RegionMusicPrototypes (no world coords in file); Region=ERegion::Yantar; MusicState=; refkey=[0]
base-regionmusic,GoreliyLes,GoreliyLes,,,,,,from RegionMusicPrototypes (no world coords in file); Region=ERegion::GoreliyLes; MusicState=; refkey=[0]
base-regionmusic,Kordon,Kordon,,,,,,from RegionMusicPrototypes (no world coords in file); Region=ERegion::Kordon; MusicState=; refkey=[0]
base-regionmusic,RizhyLes,RizhyLes,,,,,,from RegionMusicPrototypes (no world coords in file); Region=ERegion::RizhyLes; MusicState=; refkey=[0]
base-regionmusic,Yanov,Yanov,,,,,,from RegionMusicPrototypes (no world coords in file); Region=ERegion::Yanov; MusicState=; refkey=[0]
base-regionmusic,Jupiter,Jupiter,,,,,,from RegionMusicPrototypes (no world coords in file); Region=ERegion::Jupiter; MusicState=; refkey=[0]
base-regionmusic,Pripyat,Pripyat,,,,,,from RegionMusicPrototypes (no world coords in file); Region=ERegion::Pripyat; MusicState=; refkey=[0]
base-regionmusic,ZheleznyLes,ZheleznyLes,,,,,,from RegionMusicPrototypes (no world coords in file); Region=ERegion::ZheleznyLes; MusicState=; refkey=[0]
base-regionmusic,CHAES,CHAES,,,,,,from RegionMusicPrototypes (no world coords in file); Region=ERegion::CHAES; MusicState=; refkey=[0]; RegionSIDGlobalVariable=MUS_CNPP_Hub_Location_Mood
base-regionmusic,Generatory,Generatory,,,,,,from RegionMusicPrototypes (no world coords in file); Region=ERegion::Generatory; MusicState=; refkey=[0]
base-regionmusic,ZementniyZavod,ZementniyZavod,,,,,,from RegionMusicPrototypes (no world coords in file); Region=ERegion::ZementniyZavod; MusicState=; refkey=[0]
DLC1-regionmusic,DLC1_Default,Zone,,,,,,from RegionMusicPrototypes (no world coords in file); Region=ERegion::Zone; MusicState=EMusicState::Region; refkey=[0]; RegionSIDGlobalVariable=MUS_Default_Region_Mood
