Source,File,Representation,FactionA,FactionB,Operator,Value,Notes
base,GameLite/GameData/RelationPrototypes.cfg,struct,Mutant,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Humanoid,Mutant,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,AlliedMutants,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,ArenaEnemy,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Bandits,Mutant,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Monolith,Mutant,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Duty,Mutant,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Freedom,Mutant,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Varta,Mutant,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Neutrals,Mutant,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Militaries,Mutant,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Noon,Mutant,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Scientists,Mutant,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Mercenaries,Mutant,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Spark,Mutant,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Corpus,Mutant,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,NeutralBandits,Mutant,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,RooseveltBandits,Mutant,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,ShahBandits,Mutant,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,DocentBandits,Mutant,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SultanBandits,Mutant,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Law,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Flame,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,DepoVictims,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SphereMilitaries,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,VaranStashBandits,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SafariHunters,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,GarmataMilitaries,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,AzimutVarta,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,AzimuthMilitaries,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,KabanBandits,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,YanovCorpus,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,VartaLesnichestvo,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SparkLesnichestvo,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,CrazyGuardians,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,KlenMercenaries,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,DrozdMilitaries,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,LokotBandits,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,FriendlyBlinddog,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,KosakBandits,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,MoleStalkers,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SQ72_Varta,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,VartaSIRCAA,Mutant,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,NoahLesya,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,YantarZombie,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,DocileLabMutants,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Lessy,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,ArenaFriend,Mutant,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Humanoid,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,AlliedMutants,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,ArenaEnemy,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Bandits,Humanoid,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Monolith,Humanoid,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Duty,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Freedom,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Varta,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Neutrals,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Militaries,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Noon,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Scientists,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Mercenaries,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Spark,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Corpus,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,NeutralBandits,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,RooseveltBandits,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,ShahBandits,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,DocentBandits,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SultanBandits,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Law,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Flame,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,DepoVictims,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SphereMilitaries,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,VaranStashBandits,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SafariHunters,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,GarmataMilitaries,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,AzimutVarta,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,AzimuthMilitaries,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,KabanBandits,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,YanovCorpus,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,VartaLesnichestvo,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SparkLesnichestvo,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,CrazyGuardians,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,KlenMercenaries,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,DrozdMilitaries,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,LokotBandits,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,FriendlyBlinddog,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,KosakBandits,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,MoleStalkers,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SQ72_Varta,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,VartaSIRCAA,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,NoahLesya,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,YantarZombie,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,DocileLabMutants,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Lessy,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,ArenaFriend,Humanoid,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,AlliedMutants,AlliedMutants,<->,600,
base,GameLite/GameData/RelationPrototypes.cfg,struct,ArenaEnemy,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Bandits,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Monolith,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Duty,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Freedom,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Varta,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Neutrals,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Militaries,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Noon,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Scientists,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Mercenaries,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Spark,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Corpus,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,NeutralBandits,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,RooseveltBandits,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,ShahBandits,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,DocentBandits,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SultanBandits,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Law,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Flame,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,DepoVictims,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SphereMilitaries,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,VaranStashBandits,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SafariHunters,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,GarmataMilitaries,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,AzimutVarta,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,AzimuthMilitaries,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,KabanBandits,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,YanovCorpus,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,VartaLesnichestvo,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SparkLesnichestvo,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,CrazyGuardians,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,KlenMercenaries,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,DrozdMilitaries,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,LokotBandits,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,FriendlyBlinddog,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,KosakBandits,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,MoleStalkers,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SQ72_Varta,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,VartaSIRCAA,AlliedMutants,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,NoahLesya,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,YantarZombie,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,DocileLabMutants,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Lessy,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,ArenaFriend,AlliedMutants,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,ArenaEnemy,ArenaEnemy,<->,600,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Bandits,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Monolith,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Duty,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Freedom,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Varta,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Neutrals,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Militaries,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Noon,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Scientists,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Mercenaries,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Spark,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Corpus,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,NeutralBandits,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,RooseveltBandits,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,ShahBandits,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,DocentBandits,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SultanBandits,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Law,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Flame,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,DepoVictims,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SphereMilitaries,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,VaranStashBandits,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SafariHunters,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,GarmataMilitaries,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,AzimutVarta,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,AzimuthMilitaries,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,KabanBandits,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,YanovCorpus,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,VartaLesnichestvo,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SparkLesnichestvo,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,CrazyGuardians,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,KlenMercenaries,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,DrozdMilitaries,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,LokotBandits,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,FriendlyBlinddog,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,KosakBandits,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,MoleStalkers,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SQ72_Varta,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,VartaSIRCAA,ArenaEnemy,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,NoahLesya,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,YantarZombie,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,DocileLabMutants,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Lessy,ArenaEnemy,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,ArenaFriend,ArenaEnemy,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Bandits,Bandits,<->,600,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Monolith,Bandits,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Duty,Bandits,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Freedom,Bandits,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Varta,Bandits,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Neutrals,Bandits,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Militaries,Bandits,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Noon,Bandits,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Scientists,Bandits,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Mercenaries,Bandits,<->,-599,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Spark,Bandits,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Corpus,Bandits,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,NeutralBandits,Bandits,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,RooseveltBandits,Bandits,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,ShahBandits,Bandits,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,DocentBandits,Bandits,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SultanBandits,Bandits,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,VartaSIRCAA,Bandits,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Monolith,Monolith,<->,600,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Duty,Monolith,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Freedom,Monolith,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Varta,Monolith,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Neutrals,Monolith,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Militaries,Monolith,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Noon,Monolith,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Scientists,Monolith,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Mercenaries,Monolith,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Spark,Monolith,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Corpus,Monolith,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,NeutralBandits,Monolith,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,RooseveltBandits,Monolith,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,ShahBandits,Monolith,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,DocentBandits,Monolith,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SultanBandits,Monolith,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,VartaSIRCAA,Monolith,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Duty,Duty,<->,600,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Freedom,Duty,<->,-599,
