Faction,LocalizedName,IsAlias,AliasOf,InRelationPrototypes,InRelationsCsv,InPopulationManager,InLairPrototypes,InNPCPrototypes,LairPrototypeCount,PlacedLairCount_ifKnown,SourceFiles,Notes
Dog,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/NotificationEventPrototypes.cfg,refs:NotificationEventPrototypes.cfg; NOT declared in any faction table - reference only
DrozdMilitaries,,TRUE,Militaries,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,refs:ObjPrototypes; ObjPrototypes Faction=
Duty,Duty,TRUE,Army,TRUE,TRUE,TRUE,TRUE,TRUE,15,5,DLCGameData/DLC1/DialogPrototypes.cfg;DLCGameData/DLC1/LairPrototypes.cfg;DLCGameData/DLC1/ObjPrototypes.cfg;DLCGameData/DLC1/QuestNodePrototypes.cfg;DLCGameData/DLC1/RelationPrototypes.cfg;DLCGameData/DLC1/Relations.csv;DLCGameData/DLC1/SpawnActorPrototypes.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/BoolProviderPrototypes/*;GameLite/GameData/DialogPrototypes/*;GameLite/GameData/LairPrototypes.cfg;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/QuestNodePrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/*;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,blocks:ExpansionPolicies|FactionRollbackCooldowns; refs:BoolProviderPrototypes|DLCGameData/DLC1/DialogPrototypes.cfg|DLCGameData/DLC1/ObjPrototypes.cfg|DLCGameData/DLC1/QuestNodePrototypes.cfg|DLCGameData/DLC1/SpawnActorPrototypes.cfg|DialogPrototypes|NotificationEventPrototypes.cfg|ObjPrototypes|QuestNodePrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
Duty_IHub,,TRUE,Duty,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,DLCGameData/DLC1/ObjPrototypes.cfg;DLCGameData/DLC1/RelationPrototypes.cfg;DLCGameData/DLC1/Relations.csv,refs:DLCGameData/DLC1/ObjPrototypes.cfg; ObjPrototypes Faction=
EnemyVarta,,TRUE,Varta,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,blocks:NegativeReactionsExcludedFactions|PositiveReactionsExcludedFactions; refs:ObjPrototypes; ObjPrototypes Faction=
FaustBoss_Faction,,TRUE,Monolith,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,refs:ObjPrototypes; ObjPrototypes Faction=
Flame,,TRUE,FreeStalkers,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*,refs:ObjPrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
Flesh,,TRUE,Mutant,TRUE,FALSE,TRUE,TRUE,TRUE,12,14,DLCGameData/DLC1/LairPrototypes.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,refs:NotificationEventPrototypes.cfg|ObjPrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
Freedom,Freedom,TRUE,FreeStalkers,TRUE,TRUE,TRUE,TRUE,TRUE,14,8,DLCGameData/DLC1/DialogPrototypes.cfg;DLCGameData/DLC1/LairPrototypes.cfg;DLCGameData/DLC1/ObjPrototypes.cfg;DLCGameData/DLC1/QuestNodePrototypes.cfg;DLCGameData/DLC1/RelationPrototypes.cfg;DLCGameData/DLC1/Relations.csv;DLCGameData/DLC1/SpawnActorPrototypes.cfg;GameLite/GameData/AIGlobals.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/DialogPrototypes/*;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/QuestNodePrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,blocks:ExpansionPolicies|FactionRollbackCooldowns; refs:AIGlobals.cfg|DLCGameData/DLC1/DialogPrototypes.cfg|DLCGameData/DLC1/ObjPrototypes.cfg|DLCGameData/DLC1/QuestNodePrototypes.cfg|DLCGameData/DLC1/SpawnActorPrototypes.cfg|DialogPrototypes|NotificationEventPrototypes.cfg|ObjPrototypes|QuestNodePrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
Freedom_IHub,,TRUE,Freedom,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,DLCGameData/DLC1/ObjPrototypes.cfg;DLCGameData/DLC1/RelationPrototypes.cfg;DLCGameData/DLC1/Relations.csv,refs:DLCGameData/DLC1/ObjPrototypes.cfg; ObjPrototypes Faction=
FreeStalkers,,TRUE,Humanoid,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,DLCGameData/DLC1/RelationPrototypes.cfg;GameLite/GameData/DialogPoolPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,refs:DialogPoolPrototypes
FriendlyBlinddog,,TRUE,Blinddog,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/RelationPrototypes.cfg,
FW_Duty,,TRUE,Duty,TRUE,FALSE,FALSE,TRUE,TRUE,3,0,DLCGameData/DLC1/LairPrototypes.cfg;DLCGameData/DLC1/ObjPrototypes.cfg;DLCGameData/DLC1/QuestNodePrototypes.cfg;DLCGameData/DLC1/RelationPrototypes.cfg;DLCGameData/DLC1/SpawnActorPrototypes.cfg,blocks:ExpansionPolicies; refs:DLCGameData/DLC1/ObjPrototypes.cfg|DLCGameData/DLC1/QuestNodePrototypes.cfg|DLCGameData/DLC1/SpawnActorPrototypes.cfg; ObjPrototypes Faction=
FW_Freedom,,TRUE,Freedom,TRUE,FALSE,FALSE,TRUE,TRUE,3,0,DLCGameData/DLC1/LairPrototypes.cfg;DLCGameData/DLC1/ObjPrototypes.cfg;DLCGameData/DLC1/QuestNodePrototypes.cfg;DLCGameData/DLC1/RelationPrototypes.cfg;DLCGameData/DLC1/SpawnActorPrototypes.cfg,blocks:ExpansionPolicies; refs:DLCGameData/DLC1/ObjPrototypes.cfg|DLCGameData/DLC1/QuestNodePrototypes.cfg|DLCGameData/DLC1/SpawnActorPrototypes.cfg; ObjPrototypes Faction=
GarmataMilitaries,,TRUE,Militaries,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,refs:ObjPrototypes; ObjPrototypes Faction=
Humanoid,,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,DLCGameData/DLC1/ObjPrototypes.cfg;GameLite/GameData/DialogPrototypes/*;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,blocks:NegativeReactionsExcludedFactions|PositiveReactionsExcludedFactions; refs:DLCGameData/DLC1/ObjPrototypes.cfg|DialogPrototypes|NotificationEventPrototypes.cfg|ObjPrototypes|ObjPrototypes.cfg; ObjPrototypes Faction=
IkarVarta,,TRUE,Varta,TRUE,FALSE,TRUE,TRUE,TRUE,1,3,DLCGameData/DLC1/AlifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/QuestNodePrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,refs:ObjPrototypes|QuestNodePrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
KabanBandits,,TRUE,Bandits,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,refs:ObjPrototypes; ObjPrototypes Faction=
KlenMercenaries,,TRUE,Mercenaries,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,refs:ObjPrototypes; ObjPrototypes Faction=
KorshunovBoss_Faction,,TRUE,Varta,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,refs:ObjPrototypes; ObjPrototypes Faction=
KosakBandits,,TRUE,Bandits,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/RelationPrototypes.cfg,
Law,,TRUE,Army,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,refs:ObjPrototypes; ObjPrototypes Faction=
Lessy,,TRUE,Blinddog,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/RelationPrototypes.cfg,
LokotBandits,,TRUE,Bandits,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,refs:ObjPrototypes; ObjPrototypes Faction=
MALACHITE_Scientist,,TRUE,Scientists,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,blocks:NegativeReactionsExcludedFactions|PositiveReactionsExcludedFactions; refs:ObjPrototypes; ObjPrototypes Faction=
Mercenaries,Mercenaries,TRUE,Army,TRUE,FALSE,TRUE,TRUE,TRUE,12,10,DLCGameData/DLC1/LairPrototypes.cfg;DLCGameData/DLC1/ObjPrototypes.cfg;DLCGameData/DLC1/RelationPrototypes.cfg;DLCGameData/DLC1/SpawnActorPrototypes.cfg;GameLite/GameData/AIGlobals.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/QuestNodePrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,blocks:ExpansionPolicies|NegativeReactionsExcludedFactions|PositiveReactionsExcludedFactions; refs:AIGlobals.cfg|DLCGameData/DLC1/ObjPrototypes.cfg|DLCGameData/DLC1/SpawnActorPrototypes.cfg|NotificationEventPrototypes.cfg|ObjPrototypes|QuestNodePrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
Mercenaries_Nord,,TRUE,Mercenaries,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,DLCGameData/DLC1/ObjPrototypes.cfg;DLCGameData/DLC1/RelationPrototypes.cfg;DLCGameData/DLC1/Relations.csv,blocks:NegativeReactionsExcludedFactions|PositiveReactionsExcludedFactions; refs:DLCGameData/DLC1/ObjPrototypes.cfg; ObjPrototypes Faction=
Militaries,IPSF,TRUE,Army,TRUE,TRUE,TRUE,TRUE,TRUE,12,22,DLCGameData/DLC1/LairPrototypes.cfg;DLCGameData/DLC1/ObjPrototypes.cfg;DLCGameData/DLC1/RelationPrototypes.cfg;DLCGameData/DLC1/Relations.csv;DLCGameData/DLC1/SpawnActorPrototypes.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,blocks:ExpansionPolicies|PositiveReactionsExcludedFactions; refs:DLCGameData/DLC1/ObjPrototypes.cfg|DLCGameData/DLC1/SpawnActorPrototypes.cfg|NotificationEventPrototypes.cfg|ObjPrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
MoldyBlinddog,,TRUE,Blinddog,TRUE,FALSE,TRUE,TRUE,TRUE,2,0,DLCGameData/DLC1/AlifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,refs:ObjPrototypes; ObjPrototypes Faction=
MoleStalkers,,TRUE,Neutrals,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,refs:ObjPrototypes; ObjPrototypes Faction=
Monolith,Monolith,TRUE,Humanoid,TRUE,FALSE,TRUE,TRUE,TRUE,14,41,DLCGameData/DLC1/LairPrototypes.cfg;DLCGameData/DLC1/ObjPrototypes.cfg;DLCGameData/DLC1/SpawnActorPrototypes.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/DialogPoolPrototypes/*;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,blocks:ExpansionPolicies|PositiveReactionsExcludedFactions; refs:DLCGameData/DLC1/ObjPrototypes.cfg|DLCGameData/DLC1/SpawnActorPrototypes.cfg|DialogPoolPrototypes|NotificationEventPrototypes.cfg|ObjPrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
Mutant,,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,DLCGameData/DLC1/ObjPrototypes.cfg;GameLite/GameData/AIGlobals.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,blocks:ExpansionPolicies|NegativeReactionsExcludedFactions|PositiveReactionsExcludedFactions; refs:AIGlobals.cfg|DLCGameData/DLC1/ObjPrototypes.cfg|NotificationEventPrototypes.cfg|ObjPrototypes; ObjPrototypes Faction=
